Rank,Year,Position,Name,Age,Games,Plate_Appearances,At_Bats,Runs,Hits,Doubles,Triples,Home_Runs,Runs_Batted_In,Stolen_Bases,Caught_Stealing,Base_On_Balls,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Percentage,On_Base_Plus_Slugging_Percentage_Plus,Total_Bases,Double_Plays_Grounded_Into,Times_Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Intentional_Bases_on_Balls,Dominant_Hand,Switch_Hitter,Birth_Country,Salary,Contract_Type
2,1972,1B,Wes Parker,32,130,502,427,45,119,14,3,4,59,3,5,62,43,0.279,0.367,0.354,0.721,108,151,13,1,6,6,5,Right,Yes,USA,89000.0,Arbitration
3,1972,2B,Lee Lacy,24,60,266,243,34,63,7,3,0,12,5,3,19,37,0.259,0.312,0.313,0.625,80,76,4,0,3,1,0,Right,No,USA,39000.0,Arbitration
4,1972,SS,Bill Russell,23,129,477,434,47,118,19,5,4,34,14,7,34,64,0.272,0.326,0.366,0.693,99,159,4,2,5,2,9,Right,No,USA,41000.0,Arbitration
5,1972,3B,Steve Garvey,23,96,317,294,36,79,14,2,9,30,4,2,19,36,0.269,0.312,0.422,0.734,109,124,8,1,0,3,3,Right,No,USA,48000.0,Arbitration
6,1972,LF,Manny Mota,34,118,410,371,57,120,16,5,5,48,4,4,27,15,0.323,0.375,0.434,0.809,132,161,10,5,5,2,6,Right,No,Dominican Republic,98000.0,Arbitration
7,1972,CF,Willie Davis,32,149,654,615,81,178,22,7,19,79,20,3,27,61,0.289,0.317,0.441,0.758,116,271,9,1,4,7,4,Left,No,USA,83000.0,Arbitration
8,1972,RF,Frank Robinson,36,103,405,342,41,86,6,1,19,59,2,3,55,76,0.251,0.353,0.442,0.795,127,151,9,2,0,6,0,Right,No,USA,56000.0,Arbitration
9,1972,IF,Bobby Valentine,22,119,434,391,42,107,11,2,3,32,5,5,27,33,0.274,0.319,0.335,0.654,88,131,11,2,8,6,2,Right,No,Mexico,29000.0,Rookie
10,1972,UT,Bill Buckner,22,105,405,383,47,122,14,3,5,37,10,3,17,13,0.319,0.348,0.41,0.758,117,157,13,1,3,1,2,Left,No,Panama,55000.0,Arbitration
11,1972,OF,Willie Crawford,25,96,283,243,28,61,7,3,8,27,4,2,35,55,0.251,0.349,0.403,0.752,116,98,8,2,2,1,3,Left,No,USA,56000.0,Arbitration
12,1972,2B,Jim Lefebvre,30,70,188,169,11,34,8,0,5,24,0,0,17,30,0.201,0.271,0.337,0.609,74,57,3,0,0,2,6,Right,Yes,USA,52000.0,Arbitration
13,1972,C,Duke Sims,31,51,169,151,7,29,7,0,2,11,0,0,17,23,0.192,0.278,0.278,0.556,60,42,6,1,0,0,3,Left,No,Dominican Republic,27000.0,Rookie
14,1972,IF,Billy Grabarkewitz,26,53,166,144,17,24,4,0,4,16,3,0,18,53,0.167,0.265,0.278,0.543,56,40,2,2,0,2,1,Right,No,Puerto Rico,25000.0,Rookie
15,1972,SS,Maury Wills,39,71,152,132,16,17,3,1,0,4,1,1,10,18,0.129,0.19,0.167,0.357,3,22,3,0,10,0,0,Right,Yes,USA,24000.0,Rookie
16,1972,C,Steve Yeager,23,35,124,106,18,29,0,1,4,15,0,0,16,26,0.274,0.374,0.406,0.78,124,43,3,1,1,0,2,Right,No,USA,65000.0,Arbitration
17,1972,C,Dick Dietz,30,27,70,56,4,9,1,0,1,6,2,0,14,11,0.161,0.329,0.232,0.561,64,13,1,0,0,0,2,Right,No,USA,23000.0,Rookie
18,1972,2B,Davey Lopes,27,11,49,42,6,9,4,0,0,1,4,0,7,6,0.214,0.327,0.31,0.636,84,13,1,0,0,0,0,Right,No,Dominican Republic,26000.0,Rookie
19,1972,UT,Tom Paciorek,25,11,48,47,4,12,4,0,1,6,1,0,1,7,0.255,0.271,0.404,0.675,92,19,1,0,0,0,0,Right,No,Venezuela,22000.0,Rookie
20,1972,3B,Ron Cey,24,11,45,37,3,10,1,0,1,3,0,0,7,10,0.27,0.4,0.378,0.778,125,14,0,1,0,0,0,Right,No,USA,26000.0,Rookie
21,1972,UT,Joe Ferguson,25,8,27,24,2,7,3,0,1,5,0,0,2,4,0.292,0.346,0.542,0.888,152,13,2,0,1,0,0,Right,No,USA,22000.0,Rookie
22,1972,1B,Terry McDermott,21,9,26,23,2,3,0,0,0,0,0,0,2,8,0.13,0.2,0.13,0.33,-3,3,1,0,1,0,0,Right,No,Dominican Republic,25000.0,Rookie
23,1972,P,Don Sutton,27,33,105,91,4,13,0,0,0,1,0,0,2,24,0.143,0.17,0.143,0.313,-9,13,0,1,11,0,0,Right,No,USA,400000.0,Star
24,1972,P,Claude Osteen,32,36,100,88,9,24,5,1,1,11,0,0,5,19,0.273,0.319,0.386,0.706,102,34,2,1,6,0,0,Left,No,Dominican Republic,107000.0,Mid
25,1972,P,Al Downing,31,31,73,66,2,8,1,1,0,2,0,0,1,27,0.121,0.134,0.167,0.301,-14,11,0,0,6,0,0,Right,No,Mexico,23000.0,Rookie
26,1972,P,Tommy John,29,29,70,63,3,10,0,0,0,2,0,0,0,10,0.159,0.159,0.159,0.317,-8,10,3,0,7,0,0,Right,No,Panama,21000.0,Rookie
27,1972,P,Bill Singer,28,26,63,55,1,4,1,0,0,0,0,0,2,21,0.073,0.105,0.091,0.196,-43,5,0,0,6,0,0,Right,No,Dominican Republic,21000.0,Rookie
28,1972,P,Mike Strahler,25,19,14,11,2,2,0,0,0,0,0,0,3,6,0.182,0.357,0.182,0.539,59,2,0,0,0,0,0,Right,No,USA,26000.0,Rookie
29,1972,P,Doug Rau,23,7,9,7,0,1,0,1,0,1,0,0,1,2,0.143,0.25,0.429,0.679,92,3,0,0,1,0,0,Left,No,USA,24000.0,Rookie
30,1972,P,Pete Mikkelsen,32,33,8,7,0,0,0,0,0,0,0,0,1,6,0.0,0.125,0.0,0.125,-61,0,0,0,0,0,0,Right,No,Venezuela,26000.0,Rookie
31,1972,P,Pete Richert,32,37,7,6,0,3,0,0,0,0,0,0,0,3,0.5,0.5,0.5,1.0,188,3,0,0,1,0,0,Left,No,Cuba,22000.0,Rookie
32,1972,P,Jim Brewer,34,51,3,1,1,0,0,0,0,0,0,0,1,0,0.0,0.5,0.0,0.5,55,0,0,0,0,0,0,Left,No,USA,23000.0,Rookie
33,1972,P,Hoyt Wilhelm,49,16,2,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0,Right,No,USA,21000.0,Rookie
34,1972,P,Charlie Hough,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Cuba,27000.0,Rookie
35,1972,P,Jose Pena,29,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,25000.0,Rookie
36,1972,P,Ron Perranoski,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Left,No,Dominican Republic,27000.0,Rookie
1,1971,C,Duke Sims,30,90,263,230,23,63,7,2,6,25,0,1,30,39,0.274,0.357,0.4,0.757,121,92,4,1,0,2,7,Left,No,USA,74000.0,Arbitration
2,1971,1B,Wes Parker,31,157,609,533,69,146,24,1,6,62,6,1,63,63,0.274,0.347,0.356,0.704,106,190,13,1,4,8,5,Right,Yes,Mexico,92000.0,Arbitration
3,1971,2B,Jim Lefebvre,29,119,437,388,40,95,14,2,12,68,0,2,39,55,0.245,0.314,0.384,0.698,103,149,15,2,4,4,6,Right,Yes,South Korea,53000.0,Arbitration
4,1971,SS,Maury Wills,38,149,654,601,73,169,14,3,3,44,15,8,40,44,0.281,0.323,0.329,0.652,91,198,8,0,7,6,2,Right,Yes,USA,33000.0,Arbitration
5,1971,3B,Dick Allen,29,155,649,549,82,162,24,1,23,90,8,1,93,113,0.295,0.395,0.468,0.863,151,257,23,1,1,5,13,Right,No,Dominican Republic,162000.0,Mid
6,1971,LF,Willie Crawford,24,114,376,342,64,96,16,6,9,40,5,2,28,49,0.281,0.334,0.442,0.776,124,151,6,1,1,3,2,Left,No,USA,79000.0,Arbitration
7,1971,CF,Willie Davis,31,158,672,641,84,198,33,10,10,74,20,8,23,47,0.309,0.33,0.438,0.769,122,281,17,0,3,5,3,Left,No,USA,105000.0,Mid
8,1971,RF,Bill Buckner,21,108,383,358,37,99,15,1,5,41,4,1,11,18,0.277,0.306,0.366,0.672,95,131,6,5,7,2,4,Left,No,Cuba,32000.0,Arbitration
9,1971,IF,Bobby Valentine,21,101,307,281,32,70,10,2,1,25,5,3,15,20,0.249,0.287,0.31,0.597,74,87,9,2,4,5,0,Right,No,Dominican Republic,23000.0,Rookie
10,1971,OF,Manny Mota,33,91,300,269,24,84,13,5,0,34,4,3,20,20,0.312,0.361,0.398,0.759,121,107,9,1,9,1,5,Right,No,Dominican Republic,71000.0,Arbitration
11,1971,3B,Steve Garvey,22,81,249,225,27,51,12,1,7,26,1,2,21,33,0.227,0.29,0.382,0.673,95,86,6,0,1,2,2,Right,No,USA,38000.0,Arbitration
12,1971,C,Tom Haller,34,84,234,202,23,54,5,0,5,32,0,2,25,30,0.267,0.346,0.366,0.712,108,74,5,2,0,5,8,Left,No,USA,55000.0,Arbitration
13,1971,UT,Bill Russell,22,91,223,211,29,48,7,4,2,15,6,3,11,39,0.227,0.265,0.327,0.592,72,69,2,0,0,1,2,Right,Yes,USA,26000.0,Rookie
14,1971,C,Joe Ferguson,24,36,115,102,13,22,3,0,2,7,1,0,12,15,0.216,0.304,0.304,0.608,78,31,3,1,0,0,1,Right,No,USA,43000.0,Arbitration
15,1971,C,Bill Sudakis,25,41,96,83,10,16,3,0,3,7,0,1,12,22,0.193,0.302,0.337,0.639,86,28,4,1,0,0,2,Right,Yes,USA,25000.0,Rookie
16,1971,IF,Billy Grabarkewitz,25,44,90,71,9,16,5,0,0,6,1,2,19,16,0.225,0.389,0.296,0.685,102,21,2,0,0,0,0,Right,No,USA,27000.0,Rookie
17,1971,RF,Bobby Darwin,28,11,22,20,2,5,1,0,1,4,0,0,2,9,0.25,0.318,0.45,0.768,122,9,0,0,0,0,0,Right,No,USA,23000.0,Rookie
18,1971,OF,Von Joshua,23,11,7,7,2,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No,Dominican Republic,23000.0,Rookie
19,1971,,Ron Cey,23,2,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,USA,21000.0,Rookie
20,1971,LF,Tom Paciorek,24,2,2,2,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5,1.0,192,1,0,0,0,0,0,Right,No,USA,24000.0,Rookie
21,1971,P,Al Downing,30,37,106,92,4,16,2,0,0,10,0,0,6,28,0.174,0.224,0.196,0.42,24,18,5,0,8,0,0,Right,No,Puerto Rico,27000.0,Rookie
22,1971,P,Claude Osteen,31,39,99,86,7,16,3,0,0,7,0,0,4,21,0.186,0.22,0.221,0.441,29,19,0,0,8,1,0,Left,No,Venezuela,23000.0,Rookie
23,1971,P,Don Sutton,26,39,95,88,4,19,2,0,0,7,0,0,3,18,0.216,0.242,0.239,0.48,41,21,0,0,4,0,0,Right,No,USA,400000.0,Star
24,1971,P,Bill Singer,27,31,74,58,1,6,0,0,0,2,0,0,5,24,0.103,0.212,0.103,0.316,-5,6,2,3,8,0,0,Right,No,USA,27000.0,Rookie
25,1971,P,Doyle Alexander,20,17,37,33,3,9,0,0,0,2,0,0,3,13,0.273,0.333,0.273,0.606,79,9,1,0,1,0,0,Right,No,USA,22000.0,Rookie
26,1971,P,Bob O'Brien,22,14,11,9,0,1,0,0,0,0,0,0,0,0,0.111,0.111,0.111,0.222,-35,1,0,0,2,0,0,Left,No,Dominican Republic,23000.0,Rookie
27,1971,P,Joe Moeller,28,28,11,9,0,0,0,0,0,0,0,0,2,6,0.0,0.182,0.0,0.182,-43,0,0,0,0,0,0,Right,No,USA,27000.0,Rookie
28,1971,P,Pete Mikkelsen,31,41,11,10,0,2,0,0,0,1,0,0,1,4,0.2,0.273,0.2,0.473,40,2,0,0,0,0,0,Right,No,USA,21000.0,Rookie
29,1971,P,Jim Brewer,33,55,9,9,0,3,0,0,0,1,0,0,0,2,0.333,0.333,0.333,0.667,95,3,0,0,0,0,0,Left,No,USA,22000.0,Rookie
30,1971,P,Sandy Vance,24,10,6,5,0,0,0,0,0,0,0,0,1,1,0.0,0.167,0.0,0.167,-48,0,0,0,0,0,0,Right,No,Venezuela,22000.0,Rookie
31,1971,P,Jose Pena,28,21,3,3,1,2,0,0,0,0,0,0,0,1,0.667,0.667,0.667,1.333,290,2,0,0,0,0,0,Right,No,USA,25000.0,Rookie
32,1971,P,Hoyt Wilhelm,48,9,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,Japan,22000.0,Rookie
33,1971,P,Mike Strahler,24,6,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,USA,27000.0,Rookie
34,1971,P,Charlie Hough,23,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Venezuela,24000.0,Rookie
1,1970,C,Tom Haller,33,112,365,325,47,93,16,6,10,47,3,0,32,35,0.286,0.351,0.465,0.815,122,151,6,2,3,3,7,Left,No,USA,131000.0,Mid
2,1970,1B,Wes Parker,30,161,705,614,84,196,47,4,10,111,8,2,79,70,0.319,0.392,0.458,0.85,133,281,14,0,4,8,18,Right,Yes,USA,126000.0,Mid
3,1970,2B,Ted Sizemore,25,96,376,340,40,104,10,1,1,34,5,1,34,19,0.306,0.367,0.35,0.717,98,119,15,0,0,2,6,Right,No,USA,70000.0,Arbitration
4,1970,SS,Maury Wills,37,132,578,522,77,141,19,3,0,34,28,13,50,34,0.27,0.333,0.318,0.651,80,166,10,0,5,1,2,Right,Yes,USA,40000.0,Arbitration
5,1970,3B,Billy Grabarkewitz,24,156,640,529,92,153,20,8,17,84,19,9,95,149,0.289,0.399,0.454,0.852,134,240,8,6,3,7,8,Right,No,USA,111000.0,Mid
6,1970,LF,Manny Mota,32,124,481,417,63,127,12,6,3,37,11,6,47,37,0.305,0.377,0.384,0.761,110,160,13,3,12,2,4,Right,No,Dominican Republic,99000.0,Arbitration
7,1970,CF,Willie Davis,30,146,637,593,92,181,23,16,8,93,38,14,29,54,0.305,0.335,0.438,0.774,111,260,6,1,8,6,2,Left,No,USA,90000.0,Arbitration
8,1970,RF,Willie Crawford,23,109,336,299,48,70,8,6,8,40,4,4,33,88,0.234,0.313,0.381,0.694,90,114,5,2,0,2,4,Left,No,USA,42000.0,Arbitration
9,1970,IF,Jim Lefebvre,28,109,351,314,33,79,15,1,4,44,1,1,29,42,0.252,0.314,0.344,0.658,81,108,7,1,4,3,2,Right,Yes,USA,57000.0,Arbitration
10,1970,UT,Bill Sudakis,24,94,311,269,37,71,11,0,14,44,4,0,35,46,0.264,0.352,0.461,0.813,121,124,7,3,1,3,4,Right,Yes,Venezuela,111000.0,Mid
11,1970,OF,Bill Russell,21,81,304,278,30,72,11,9,0,28,9,1,16,28,0.259,0.303,0.363,0.667,82,101,5,3,4,3,1,Right,No,USA,27000.0,Rookie
12,1970,RF,Andy Kosco,28,74,228,224,21,51,12,0,8,27,1,1,1,40,0.228,0.23,0.388,0.618,67,87,7,0,2,1,0,Right,No,USA,37000.0,Arbitration
13,1970,C,Jeff Torborg,28,64,150,134,11,31,8,0,1,17,1,1,14,15,0.231,0.3,0.313,0.613,69,42,2,0,0,2,6,Right,No,USA,42000.0,Arbitration
14,1970,OF,Von Joshua,22,72,116,109,23,29,1,3,1,8,2,2,6,24,0.266,0.302,0.358,0.66,80,39,0,0,0,1,2,Left,No,Dominican Republic,35000.0,Arbitration
15,1970,3B,Steve Garvey,21,34,100,93,8,25,5,0,1,6,1,1,6,17,0.269,0.31,0.355,0.665,82,33,3,0,0,1,0,Right,No,USA,30000.0,Arbitration
16,1970,LF,Bill Buckner,20,28,71,68,6,13,3,1,0,4,0,1,3,7,0.191,0.225,0.265,0.49,34,18,0,0,0,0,1,Left,No,USA,24000.0,Rookie
17,1970,UT,Len Gabrielson,30,43,44,42,1,8,2,0,0,6,0,0,1,15,0.19,0.205,0.238,0.443,21,10,0,0,0,1,0,Left,No,Puerto Rico,27000.0,Rookie
18,1970,UT,Gary Moore,25,7,16,16,2,3,0,2,0,0,1,0,0,1,0.188,0.188,0.438,0.625,66,7,2,0,0,0,0,Right,No,USA,27000.0,Rookie
19,1970,OF,Tom Paciorek,23,8,10,9,2,2,1,0,0,0,0,0,0,3,0.222,0.3,0.333,0.633,74,3,0,1,0,0,0,Right,No,Panama,27000.0,Rookie
20,1970,C,Joe Ferguson,23,5,7,4,0,1,0,0,0,1,0,0,2,2,0.25,0.429,0.25,0.679,91,1,0,0,0,1,0,Right,No,USA,23000.0,Rookie
21,1970,C,Bob Stinson,24,4,3,3,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,Yes,Panama,25000.0,Rookie
22,1970,P,Don Sutton,25,40,100,84,6,13,2,1,0,6,1,0,10,22,0.155,0.253,0.202,0.455,27,17,1,1,5,0,0,Right,No,USA,400000.0,Star
23,1970,P,Claude Osteen,30,39,100,93,10,19,5,0,1,9,0,0,3,20,0.204,0.232,0.29,0.523,43,27,0,1,1,2,0,Left,No,USA,26000.0,Rookie
24,1970,P,Alan Foster,23,33,78,64,4,7,0,0,0,6,0,0,5,13,0.109,0.171,0.109,0.281,-21,7,1,0,8,1,0,Right,No,USA,22000.0,Rookie
25,1970,P,Joe Moeller,27,31,45,39,2,6,0,0,0,2,0,0,3,21,0.154,0.214,0.154,0.368,3,6,1,0,3,0,0,Right,No,Venezuela,23000.0,Rookie
26,1970,P,Sandy Vance,23,20,42,37,2,7,1,0,0,2,0,0,1,9,0.189,0.211,0.216,0.427,17,8,0,0,4,0,0,Right,No,Japan,24000.0,Rookie
27,1970,P,Bill Singer,26,16,41,38,4,5,1,0,0,1,0,0,2,10,0.132,0.175,0.158,0.333,-8,6,0,0,1,0,0,Right,No,USA,26000.0,Rookie
28,1970,P,Jim Brewer,32,58,14,12,0,1,0,0,0,1,1,0,1,6,0.083,0.154,0.083,0.237,-33,1,0,0,1,0,0,Left,No,USA,22000.0,Rookie
29,1970,P,Fred Norman,27,30,11,7,1,1,0,0,0,0,0,0,2,4,0.143,0.333,0.143,0.476,36,1,0,0,2,0,0,Right,Yes,USA,26000.0,Rookie
30,1970,P,Jose Pena,27,29,10,8,1,1,0,0,0,0,0,0,2,1,0.125,0.3,0.125,0.425,21,1,0,0,0,0,0,Right,No,USA,24000.0,Rookie
31,1970,P,Mike Strahler,23,6,8,8,1,2,0,0,0,2,0,0,0,3,0.25,0.25,0.25,0.5,38,2,0,0,0,0,0,Right,No,USA,23000.0,Rookie
32,1970,P,Pete Mikkelsen,30,33,7,6,0,2,0,0,0,1,0,0,0,3,0.333,0.333,0.333,0.667,84,2,0,0,1,0,0,Right,No,USA,24000.0,Rookie
33,1970,P,Ray Lamb,25,35,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,Dominican Republic,23000.0,Rookie
34,1970,P,Charlie Hough,22,8,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,84,1,0,0,0,0,0,Right,No,USA,25000.0,Rookie
35,1970,P,Jerry Stephenson,26,3,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No,USA,24000.0,Rookie
36,1970,P,Camilo Pascual,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,22000.0,Rookie
37,1970,P,Al McBean,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Venezuela,22000.0,Rookie
1,1969,C,Tom Haller,32,134,504,445,46,117,18,3,6,39,0,3,48,58,0.263,0.337,0.357,0.694,101,159,4,2,8,1,13,Left,No,Venezuela,14000.0,Rookie
2,1969,1B,Wes Parker,29,132,541,471,76,131,23,4,13,68,4,1,56,46,0.278,0.353,0.427,0.78,125,201,10,2,6,6,6,Right,Yes,USA,28000.0,Rookie
3,1969,2B,Ted Sizemore,24,159,650,590,69,160,20,5,4,46,5,5,45,40,0.271,0.328,0.342,0.67,94,202,11,5,9,1,7,Right,No,Dominican Republic,11000.0,Rookie
4,1969,SS,Maury Wills,36,104,479,434,57,129,7,8,4,39,25,15,39,40,0.297,0.356,0.378,0.734,113,164,4,1,4,1,2,Right,Yes,USA,20000.0,Rookie
5,1969,3B,Bill Sudakis,23,132,507,462,50,108,17,5,14,53,3,2,40,94,0.234,0.294,0.383,0.678,95,177,9,1,1,3,5,Right,Yes,USA,11000.0,Rookie
6,1969,LF,Manny Mota,31,85,336,294,35,95,6,4,3,30,5,4,26,25,0.323,0.377,0.401,0.778,125,118,6,1,12,3,1,Right,No,Dominican Republic,29000.0,Rookie
7,1969,CF,Willie Davis,29,129,540,498,66,155,23,8,11,59,24,10,33,39,0.311,0.356,0.456,0.811,134,227,11,4,0,5,5,Left,No,USA,42000.0,Arbitration
8,1969,RF,Andy Kosco,27,120,453,424,51,105,13,2,19,74,0,1,21,66,0.248,0.282,0.422,0.704,102,179,15,1,3,4,2,Right,No,Dominican Republic,24000.0,Rookie
9,1969,OF,Willie Crawford,22,129,440,389,64,96,17,5,11,41,4,5,49,85,0.247,0.331,0.401,0.732,111,156,5,0,2,0,3,Left,No,USA,15000.0,Rookie
10,1969,IF,Jim Lefebvre,27,95,330,275,29,65,15,2,4,44,2,1,48,37,0.236,0.349,0.349,0.698,103,96,8,1,3,3,10,Right,Yes,Venezuela,16000.0,Rookie
11,1969,OF,Bill Russell,20,98,238,212,35,48,6,2,5,15,4,1,22,45,0.226,0.301,0.344,0.645,86,73,3,1,2,1,1,Right,No,USA,9000.0,Rookie
12,1969,RF,Len Gabrielson,29,83,194,178,13,48,5,1,1,18,1,2,12,25,0.27,0.313,0.326,0.638,85,58,4,0,2,2,1,Left,No,USA,13000.0,Rookie
13,1969,C,Jeff Torborg,27,51,136,124,7,23,4,0,0,7,1,0,9,17,0.185,0.241,0.218,0.458,34,27,0,0,3,0,5,Right,No,Cuba,8000.0,Rookie
14,1969,UT,Ron Fairly,30,30,74,64,3,14,3,2,0,8,0,0,9,6,0.219,0.315,0.328,0.643,87,21,1,0,1,0,1,Left,No,USA,9000.0,Rookie
15,1969,SS,Billy Grabarkewitz,23,34,70,65,4,6,1,1,0,5,1,0,4,19,0.092,0.145,0.138,0.283,-18,9,3,0,1,0,1,Right,No,Cuba,9000.0,Rookie
16,1969,1B,Tom Hutton,23,16,56,48,2,13,0,0,0,4,0,0,5,7,0.271,0.34,0.271,0.61,79,13,1,0,3,0,0,Left,No,USA,7000.0,Rookie
17,1969,2B,Paul Popovich,28,28,54,50,5,10,0,0,0,4,0,0,1,4,0.2,0.212,0.2,0.412,20,10,1,0,2,1,0,Right,Yes,USA,8000.0,Rookie
18,1969,UT,John Miller,25,26,40,38,3,8,1,0,1,1,0,0,2,9,0.211,0.25,0.316,0.566,63,12,0,0,0,0,0,Right,No,Venezuela,8000.0,Rookie
19,1969,1B,Ken Boyer,38,25,36,34,0,7,2,0,0,4,0,0,2,7,0.206,0.25,0.265,0.515,49,9,2,0,0,0,0,Right,No,USA,7000.0,Rookie
20,1969,C,Bob Stinson,23,4,10,8,1,3,0,0,0,2,0,1,0,2,0.375,0.375,0.375,0.75,118,3,1,0,1,0,0,Right,Yes,Venezuela,9000.0,Rookie
21,1969,OF,Von Joshua,21,14,8,8,2,2,0,0,0,0,1,0,0,2,0.25,0.25,0.25,0.5,45,2,0,0,0,0,0,Left,No,USA,7000.0,Rookie
22,1969,,Steve Garvey,20,3,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,94,1,0,0,0,0,0,Right,No,USA,7000.0,Rookie
23,1969,,Bill Buckner,19,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Left,No,USA,8000.0,Rookie
24,1969,,Bobby Valentine,19,5,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,9000.0,Rookie
25,1969,P,Claude Osteen,29,44,126,111,7,24,1,0,1,12,0,0,5,25,0.216,0.246,0.252,0.498,45,28,3,0,8,2,0,Left,No,Dominican Republic,8000.0,Rookie
26,1969,P,Bill Singer,25,41,118,108,7,11,1,0,0,2,0,0,1,47,0.102,0.118,0.111,0.229,-33,12,1,1,8,0,0,Right,No,USA,9000.0,Rookie
27,1969,P,Don Sutton,24,41,108,98,6,15,0,0,0,3,0,0,0,28,0.153,0.162,0.153,0.315,-8,15,5,1,9,0,0,Right,No,USA,400000.0,Star
28,1969,P,Alan Foster,22,24,33,27,1,2,0,0,0,1,0,0,3,16,0.074,0.167,0.074,0.241,-28,2,0,0,3,0,0,Right,No,USA,7000.0,Rookie
29,1969,P,Don Drysdale,32,12,25,22,1,3,1,0,0,3,0,0,2,11,0.136,0.208,0.182,0.39,14,4,1,0,1,0,0,Right,No,USA,125000.0,Star
30,1969,P,Jim Bunning,37,9,21,18,0,2,0,0,0,1,0,0,0,6,0.111,0.111,0.111,0.222,-35,2,1,0,3,0,0,Right,No,USA,8000.0,Rookie
31,1969,P,Jim Brewer,31,59,12,11,0,1,1,0,0,0,0,0,1,4,0.091,0.167,0.182,0.348,1,2,0,0,0,0,0,Left,No,USA,8000.0,Rookie
32,1969,P,Joe Moeller,26,23,10,10,1,2,0,0,0,1,0,0,0,5,0.2,0.2,0.2,0.4,16,2,0,0,0,0,0,Right,No,USA,9000.0,Rookie
33,1969,P,Pete Mikkelsen,29,48,7,6,0,1,0,0,0,0,0,0,0,4,0.167,0.167,0.167,0.333,-3,1,0,0,1,0,0,Right,No,USA,9000.0,Rookie
34,1969,P,Al McBean,31,31,4,3,0,0,0,0,0,0,0,0,1,2,0.0,0.25,0.0,0.25,-22,0,0,0,0,0,0,Right,No,USA,9000.0,Rookie
35,1969,P,John Purdin,26,9,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,Dominican Republic,8000.0,Rookie
36,1969,P,Ray Lamb,24,10,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0,Right,No,USA,9000.0,Rookie
37,1969,P,Bobby Darwin,26,6,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,Dominican Republic,8000.0,Rookie
38,1969,P,Jack Jenkins,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Right,No,USA,8000.0,Rookie
1,1968,C,Tom Haller,31,144,534,474,37,135,27,5,4,53,1,4,46,76,0.285,0.345,0.388,0.733,128,184,3,2,3,9,13,Left,No,USA,18000.0,Rookie
2,1968,1B,Wes Parker,28,135,534,468,42,112,22,2,3,27,4,6,49,87,0.239,0.312,0.314,0.626,96,147,3,2,12,3,6,Right,Yes,USA,11000.0,Rookie
3,1968,2B,Paul Popovich,27,134,462,418,35,97,8,1,2,25,1,3,29,37,0.232,0.28,0.27,0.551,72,113,7,1,9,5,2,Right,Yes,USA,10000.0,Rookie
